timestamp,latitude,longitude,altitude,latitude_std,longitude_std,altitude_std,x,y,z,orientation,hdop,vdop,pdop,satellites
1.7125787491044145e+18,55.6546393333,12.5525806667,12.9,2.886,2.785,8.186,0.0,0.0,0.0,42.625,0.93,1.3,1.6,5
1.7125787492511677e+18,55.6546393333,12.5525806667,13.0,2.886,2.785,8.186,0.0,0.0,0.0,42.625,0.93,1.3,1.6,5
1.7125787493044342e+18,55.6546398333,12.5525801667,13.0,2.886,2.785,8.186,-0.03147400774416709,0.05566776826065392,1.5587324139754166e-10,42.625,0.93,1.3,1.6,5
1.712578749451796e+18,55.6546398333,12.5525801667,13.0,2.886,2.785,8.186,-0.03147400774416709,0.05566776826065392,1.5587324139754166e-10,42.625,0.93,1.3,1.6,5
1.7125787495030976e+18,55.6546403333,12.5525791667,13.0,2.886,2.785,8.186,-0.09442202147886733,0.11133553713823058,-1.2377902869342705e-09,42.625,0.93,1.3,1.6,5
1.71257874965125e+18,55.6546403333,12.5525791667,13.0,2.886,2.785,8.186,-0.09442202147886733,0.11133553713823058,-1.2377902869342705e-09,42.625,0.93,1.3,1.6,5
1.712578749704045e+18,55.6546408333,12.5525783333,13.0,2.886,2.785,8.186,-0.1468828947537965,0.1670033075447095,-3.676174850641978e-09,42.625,0.93,1.3,1.6,5
1.7125787498518308e+18,55.6546408333,12.5525783333,13.0,2.886,2.785,8.186,-0.1468828947537965,0.1670033075447095,-3.676174850641978e-09,42.625,0.93,1.3,1.6,5
1.7125787499034365e+18,55.654641,12.5525776667,13.0,2.886,2.785,8.186,-0.18884403973733638,0.18556294229185044,-6.253879844542176e-09,42.625,0.93,1.3,1.6,5
1.7125787500140326e+18,55.654641,12.5525776667,-1.5475,2.886,2.785,8.186,-0.18884403973733638,0.18556294229185044,-6.253879844542176e-09,42.625,1.0,1.3,1.6,5
1.7125787500512008e+18,55.654641,12.5525776667,13.0,2.853,2.996,11.529,-0.18884403973733638,0.18556294229185044,-6.253879844542176e-09,48.745,0.93,1.6,1.9,6
1.7125787501032824e+18,55.6546415,12.5525771667,13.0,2.853,2.996,11.529,-0.22031804336409117,0.24123071255279352,-7.464833140513605e-09,48.745,0.93,1.3,1.6,5
1.712578750252043e+18,55.6546415,12.5525771667,13.0,2.853,2.996,11.529,-0.22031804336409117,0.24123071255279352,-7.464833140513605e-09,48.745,0.93,1.3,1.6,5
1.7125787503034524e+18,55.6546418333,12.5525773333,13.0,2.853,2.996,11.529,-0.2098309028027346,0.2783388461110916,-9.27379537052353e-09,48.745,0.93,1.3,1.6,5
1.7125787504516861e+18,55.6546418333,12.5525773333,13.0,2.853,2.996,11.529,-0.2098309028027346,0.2783388461110916,-9.27379537052353e-09,48.745,0.93,1.3,1.6,5
1.7125787505028751e+18,55.6546433333,12.5525758333,13.0,2.853,2.996,11.529,-0.3042529089335025,0.4453421556246651,-2.2191215309774748e-08,48.745,0.93,1.3,1.6,5
1.7125787506493635e+18,55.6546433333,12.5525758333,13.0,2.853,2.996,11.529,-0.3042529089335025,0.4453421556246651,-2.2191215309774748e-08,48.745,0.93,1.3,1.6,5
1.7125787507006958e+18,55.654645,12.5525751667,13.0,2.853,2.996,11.529,-0.34621403721308175,0.6309050977953325,-4.077011894754179e-08,48.745,0.93,1.3,1.6,5
1.7125787508533048e+18,55.654645,12.5525751667,12.9,2.853,2.996,11.529,-0.34621403721308175,0.6309050977953325,-4.077011894754179e-08,48.745,0.93,1.3,1.6,5
1.7125787509041759e+18,55.6546468333,12.5525741667,12.9,2.853,2.996,11.529,-0.40916202498648957,0.8350165417156965,-6.735613372610416e-08,48.745,0.93,1.3,1.6,5
1.7125787510071386e+18,55.6546468333,12.5525741667,-1.5337,2.853,2.996,11.529,-0.40916202498648957,0.8350165417156965,-6.735613372610416e-08,48.745,1.0,1.3,1.6,5
1.7125787510533535e+18,55.6546468333,12.5525741667,12.9,2.92,2.893,9.968,-0.40916202498648957,0.8350165417156965,-6.735613372610416e-08,44.307,0.93,1.4,1.7,6
1.7125787511045125e+18,55.6546491667,12.5525728333,12.9,2.92,2.893,9.968,-0.49309686402740116,1.0948068904482087,-1.1447307823875263e-07,44.307,0.93,1.3,1.6,5
1.7125787512529774e+18,55.6546491667,12.5525728333,12.9,2.92,2.893,9.968,-0.49309686402740116,1.0948068904482087,-1.1447307823875263e-07,44.307,0.93,1.3,1.6,5
1.7125787513043382e+18,55.654651,12.5525718333,12.9,2.92,2.893,9.968,-0.5560448380707712,1.2989183369620612,-1.5636707551003326e-07,44.307,0.93,1.3,1.6,5
1.7125787514546941e+18,55.654651,12.5525718333,12.9,2.92,2.893,9.968,-0.5560448380707712,1.2989183369620612,-1.5636707551003326e-07,44.307,0.93,1.3,1.6,5
1.7125787515062067e+18,55.6546528333,12.5525716667,12.9,2.92,2.893,9.968,-0.5665319477765582,1.5030297775672472,-2.0324747185274106e-07,44.307,0.93,1.3,1.6,5
1.7125787516541486e+18,55.6546528333,12.5525716667,12.8,2.92,2.893,9.968,-0.5665319477765582,1.5030297775672472,-2.0324747185274106e-07,44.307,0.93,1.3,1.6,5
1.7125787517055672e+18,55.654655,12.5525721667,12.8,2.92,2.893,9.968,-0.5350579212071127,1.7442604805989679,-2.606056452858496e-07,44.307,0.93,1.3,1.6,5
1.7125787518535892e+18,55.654655,12.5525721667,12.9,2.92,2.893,9.968,-0.5350579212071127,1.7442604805989679,-2.606056452858496e-07,44.307,0.93,1.3,1.6,5
