timestamp,x,y,z,ori_x,ori_y,ori_z,ori_w
1.7125771443734136e+18,0.00011037339572794735,5.539538324228488e-05,6.236598710529506e-05,0.9999949918481873,-2.9415270365721063e-06,0.0030101980785822865,0.0009772294608638692
1.7125771476740047e+18,-1.0679996013641357,-0.07331794500350952,0.005747918970882893,0.9999286416998371,-6.773603919608067e-05,0.011945625892415825,9.456313343644315e-05
1.7125771491737595e+18,-2.1541121006011963,-0.10090253502130508,0.006488603539764881,-0.9999515222266145,0.009837453300467326,0.00037510711099801786,0.00019236395993142596
1.712577151273287e+18,-3.183213233947754,-0.10421709716320038,0.021923787891864777,-0.9998471271404672,0.017272905666292544,-0.002707024038181999,0.00020273049688088548
1.7125771542735688e+18,-4.236105918884277,-0.08924054354429245,0.024513810873031616,-0.9998786539662405,0.015485063012901387,-0.001590584931633551,0.0006001714096133529
1.71257715807371e+18,-5.268351078033447,-0.09906302392482758,0.02476833015680313,0.9998255386199076,-0.01850002602009106,0.0025516093770165333,0.00036145574383129604
1.712577162173975e+18,-6.292034149169922,-0.10952289402484894,0.024727817624807358,0.9996683748234788,-0.02549377961854539,0.003336539592772725,0.001440514523194929
1.712577166373979e+18,-7.351696491241455,-0.07322248071432114,0.02144920825958252,-0.9999272366743234,0.011279212818866067,-0.004268674106886244,0.0002813119397209693
1.7125771674749156e+18,-7.646812438964844,-0.021871866658329964,0.024447506293654442,-0.9954632429317856,-0.0948149855624472,-0.0016800872821566976,0.0077606566249475905
1.712577168074708e+18,-7.762467861175537,-0.010620446875691414,0.025299886241555214,0.9733762506417717,0.22910403333621837,-0.006807228804068621,0.0019178716466456394
1.7125771686743306e+18,-7.795120716094971,0.060245536267757416,0.025033770129084587,-0.9412423376702809,-0.33771264267115236,-0.002703408678838915,0.002392558999604537
1.7125771695748703e+18,-7.85782527923584,0.1398676633834839,0.02189108356833458,-0.8995573860089128,-0.4367931918041411,0.0008081749957218169,0.0027502224526067447
1.7125771712748052e+18,-7.9878082275390625,0.23707517981529236,0.029187845066189766,-0.8493109889997367,-0.5278508552640189,-0.003356716078151999,0.0057490015223134894
1.712577172574393e+18,-8.342158317565918,-0.2680145502090454,0.0245745200663805,0.9040751531001775,0.4273337883625282,0.0052156625278670845,0.0025976402784245543
1.712577173974498e+18,-9.082612037658691,-0.9426905512809753,0.055808357894420624,-0.939979923914098,-0.34122645039304933,0.0012729096384721855,0.0007949161330227225
1.7125771760737964e+18,-9.960659980773926,-1.5704426765441895,0.04819246381521225,-0.9458193358606161,-0.32469107716315765,-0.0005229495238934234,0.0011022008015520875
1.7125771776745907e+18,-10.808879852294922,-2.192664623260498,0.056341107934713364,-0.9477405096220081,-0.3189664485700343,-0.005722929487298839,0.003947047772647262
1.712577179074287e+18,-11.762557983398438,-2.888636350631714,0.06748536229133606,-0.9491154664403968,-0.31489937968201115,0.004267510871618583,1.976038999225785e-05
1.712577180874816e+18,-12.5804443359375,-3.5061538219451904,0.07698449492454529,0.9664530140741795,0.2567762770779408,-0.001544962979090975,0.005668174866695111
